,"('flaubert_base_cased', 1)","('flaubert_base_uncased', 1)","('flaubert_large_uncased', 1)","('flaubert_small_cased', 1)"
Dim 0,0.0182734437626473,0.02365886281166979,0.0210062849507211,0.012220042877561373
Dim 1,0.014570277079403659,0.015648554476911505,0.014639253602990576,0.013868213919165913
Dim 2,0.009664574770230801,0.02658603721228745,0.011640461477716085,0.0388651931793274
Dim 3,0.03007449074355116,0.012800787796554197,0.015618915203867201,0.020199214526422846
Dim 4,0.02077331592621886,0.01637174226631053,0.01269497104357845,0.019468182371114685
Dim 5,0.01172271207958722,0.013840695558812729,0.015059824148714126,0.019985984129945268
Dim 6,0.021074314439614748,0.01630585453570442,0.01513583241965413,0.016048219140841015
Dim 7,0.014928550156321592,0.0175230676097669,0.015797968238903566,0.0181434256083315
Dim 8,0.01383302360388096,0.02340381849031865,0.010155596632831243,0.021284082571302255
Dim 9,0.01065950382631337,0.030046797507665365,0.01273086492706722,0.015198817827453312
Dim 10,0.026826510208012817,0.018291628928860926,0.016695802741940786,0.01246148750983111
Dim 11,0.012605355948504085,0.014168323979857308,0.01519702355080508,0.01840077299472207
Dim 12,0.014014052824458367,0.027889332943956086,0.013664292781823845,0.01404646841082623
Dim 13,0.02853493845456282,0.02415640395458964,0.02298383319034203,0.011899051457739595
Dim 14,0.013228215377195604,0.02533275578724794,0.0163054498495591,0.028862554460708494
Dim 15,0.028301033395868813,0.05084574607593287,0.013609222591781827,0.015336541496116334
Dim 16,0.015381971145253965,0.016541344564298194,0.013508788043603838,0.018623369238069842
Dim 17,0.01795569900997158,0.03808740788712805,0.022683477310137732,0.030066093728668565
Dim 18,0.010561176967771776,0.01497960534624158,0.013129888717514018,0.023478458757457504
Dim 19,0.013315887999121938,0.03010200496761954,0.010778099430906997,0.02594332500613683
Dim 20,0.014689872837536491,0.015083313019214317,0.017032170773630437,0.01305645707199397
Dim 21,0.013964847402070667,0.024912759540078044,0.022987117959647106,0.013845750000606448
Dim 22,0.016078108092495737,0.015020163120940584,0.013049729413335672,0.021003014334184583
Dim 23,0.01814376547506284,0.014726635255146269,0.013655287849609624,0.030633014479301685
Dim 24,0.013570275916060784,0.014051280862191885,0.011299926405055609,0.014406025801325485
Dim 25,0.01155268370418953,0.029646528184035025,0.015313437756977707,0.012541241525127474
Dim 26,0.015736779985783128,0.032946319992523,0.014072052717098348,0.011087898556015455
Dim 27,0.01689129015211545,0.018578881790357576,0.013272615364510229,0.014027627574404152
Dim 28,0.011560162722792238,0.013759477888824706,0.013858289916267355,0.019961107957511225
Dim 29,0.01439002333729283,0.022287616573762235,0.013324530591573073,0.01608375529280958
Dim 30,0.011835267173806749,0.011775528225667208,0.018436204488108187,0.026442571448124362
Dim 31,0.01777580105317744,0.012519485799998935,0.02800802825223136,0.01433903843491491
Dim 32,0.01792396423849289,0.015260412211538505,0.011921826229266914,0.015940016294456853
Dim 33,0.012435885114723771,0.01449467814443245,0.014150580388107575,0.03379614377316086
Dim 34,0.011691305913106518,0.011678040312562143,0.012369199371115466,0.017813719126072436
Dim 35,0.011315458996844658,0.018280232008578347,0.029705923038560636,0.016587015449610575
Dim 36,0.025651323352504175,0.017955433412710876,0.027882816080704708,0.033415825941632546
Dim 37,0.021260097656170523,0.016692515717595235,0.017032182696493144,0.013258996437659912
Dim 38,0.009492565772873503,0.013047054218530259,0.02214707439824574,0.022364523109054103
Dim 39,0.012421785007052788,0.016461685576922035,0.017225225981123665,0.03412606351389104
Dim 40,0.013094981474672798,0.02032918584755159,0.018991797143597916,0.012110119178454712
Dim 41,0.014671087492525818,0.019786206818600816,0.022324791414073397,0.015529463401076065
Dim 42,0.015006365868105711,0.012991041437765988,0.015797073145212552,0.018502930488200387
Dim 43,0.02157868317306785,0.012503503358431239,0.02196561639748482,0.015600095669563477
Dim 44,0.012523812465906736,0.015510353875430821,0.017939747399401677,0.014617736065597646
Dim 45,0.023529061636587127,0.014432473856543728,0.013352222597088174,0.022731087916386127
Dim 46,0.014047055225655814,0.012607664717917053,0.017442063474123384,0.016046728426790308
Dim 47,0.014879484549211135,0.01205338729242709,0.013848847580000273,0.02038355481312585
Dim 48,0.015262910079058244,0.014358144614797449,0.01278079012586601,0.013425855746312916
Dim 49,0.01322734991640744,0.017524695268304948,0.01984556131149468,0.016374752552572442
Dim 50,0.028240016109018686,0.01385374908878621,0.01163254934022828,0.026218230870519364
Dim 51,0.014528792803542771,0.015850992620756996,0.015330098614755186,0.014319975026368758
Dim 52,0.018299010826462594,0.013685623772204652,0.011635637619615275,0.02420200332801954
Dim 53,0.016162287971448648,0.013716401534848075,0.012701301550406783,0.038213875823757563
Dim 54,0.016995869819033886,0.0233308191714804,0.01744848223606284,0.018615955685486057
Dim 55,0.01569606729501426,0.020026104377094237,0.01926092448651949,0.023913773816622387
Dim 56,0.013320063935500129,0.014288723296091259,0.012269746506301072,0.02192812914909468
Dim 57,0.012758962566626088,0.060279541427801606,0.011730699652238047,0.013296825255730577
Dim 58,0.012798152670877016,0.015108321732341943,0.01995397160335609,0.023686287417081824
Dim 59,0.01903126569836014,0.027338491027131203,0.01316232866207352,0.012076979869111507
Dim 60,0.013562527897185761,0.020126747224980472,0.012443384590209067,0.014275694179908878
Dim 61,0.012172601076312151,0.018133605599279224,0.01083233234087144,0.040087981965303617
Dim 62,0.018457471961031802,0.012198641453085834,0.012113033723678241,0.016919866399413917
Dim 63,0.023834574392256124,0.020047731254191018,0.010872116282731702,0.013169345887277202
Dim 64,0.012308740955567226,0.014342449704699063,0.009987519188628871,0.013943395100905148
Dim 65,0.01445792595400379,0.010514856227447628,0.011340034224664085,0.012883719674974618
Dim 66,0.016062519334314178,0.01584035073349485,0.014985060988287027,0.020060003167679565
Dim 67,0.014328807234401681,0.01691809432446688,0.011852040514425188,0.012079113468952721
Dim 68,0.012749140922791643,0.023567251495628685,0.019517622104431805,0.01375890056390926
Dim 69,0.017298891249987472,0.01228738528993226,0.016754861948806037,0.016068066556301674
Dim 70,0.014984453877095303,0.01449742429070397,0.021121010400006995,0.025784574615311515
Dim 71,0.029728068243171472,0.021257946271242896,0.015241591533296826,0.01572016620570965
Dim 72,0.012425004234684607,0.01368534163664773,0.013701196891665778,0.02439198366628396
Dim 73,0.011529396813188283,0.014758261991095365,0.012976972686421175,0.012175897198497232
Dim 74,0.010903289036305898,0.015251674202771244,0.012064356806708613,0.014291317393918252
Dim 75,0.03226740246363795,0.012902938920882392,0.0124133583904088,0.02809642992573685
Dim 76,0.017003828736289296,0.012702028970519356,0.023485719546943347,0.01860687399675743
Dim 77,0.014411238373254505,0.03384977213402773,0.01060910096844767,0.013890795421322539
Dim 78,0.02066318681531233,0.03545436305965618,0.011436467413885083,0.014504866616898765
Dim 79,0.012178134476785505,0.021973419526852,0.014372553381310839,0.025091533667058408
Dim 80,0.012232584028765271,0.019273952768792898,0.013591852071696825,0.025669565447815616
Dim 81,0.01695695284171926,0.01539150525642236,0.016109190035574063,0.01990500854992109
Dim 82,0.01553327311581524,0.022778309646992467,0.01654239161157882,0.014295010194126994
Dim 83,0.012005302438545008,0.017506586290711713,0.012524951753531778,0.01852528157472938
Dim 84,0.01591456410247702,0.011767922215327646,0.02533509913350832,0.014574659796539735
Dim 85,0.013370724447016901,0.013294350455329208,0.013534664595159618,0.01737752055793118
Dim 86,0.014708079351413744,0.014300411842867143,0.011049684495848628,0.013824740017552236
Dim 87,0.021150348924118087,0.014491667406138506,0.012885730652134624,0.01135884849915891
Dim 88,0.01109147194099842,0.020952166312176827,0.01736871549214518,0.038660380019947226
Dim 89,0.012680450605162612,0.015275642592646577,0.016791786429491366,0.048055166910844584
Dim 90,0.01610543099964394,0.0212899701303398,0.012860878502219966,0.014460117719226551
Dim 91,0.019832639521369568,0.020799395684152556,0.019752623915843724,0.019747051385649316
Dim 92,0.013245025681985333,0.01667929709971466,0.012144994798930952,0.011101034785292714
Dim 93,0.01216415043787535,0.021976838832221054,0.022521789663083377,0.01462494677433205
Dim 94,0.013013829709933785,0.040949813415181446,0.010549881132648995,0.031072704603245453
Dim 95,0.017534313682986583,0.04130413517196187,0.014032079812349298,0.029575003506618958
Dim 96,0.025159490080364243,0.017447864375459223,0.012453538621855706,0.013866018886658912
Dim 97,0.012433420871744953,0.025441716951509912,0.0136028394487831,0.01829007982706279
Dim 98,0.012240741190449916,0.015546014878793512,0.018247251088596213,0.014895465274734064
Dim 99,0.020836824029883294,0.011928563476471208,0.02712570523778273,0.02511395800459729
Dim 100,0.012985461613174565,0.013564141702809774,0.011797603781954451,0.011419731216307107
Dim 101,0.018491804011866227,0.031840422635895475,0.01215687148686515,0.011855067004297603
Dim 102,0.014824710661876354,0.013622501224021713,0.011615365298411402,0.04445226360128849
Dim 103,0.013454105965519767,0.013123603892677112,0.012974381305288768,0.01887944056388615
Dim 104,0.027450862171727406,0.012695280075763173,0.01680673153480624,0.02947917746413267
Dim 105,0.01745019766112991,0.03625901981936919,0.018543345134254482,0.012200527417150043
Dim 106,0.022574841681088458,0.023012323896867148,0.011552216817751091,0.028170076028566006
Dim 107,0.010630790909918919,0.018663375252803788,0.011946052706643902,0.0229967259241842
Dim 108,0.011907764369889782,0.022007435837709293,0.02171407222500294,0.01882971415667911
Dim 109,0.012869418627440527,0.014957251118785176,0.011851259999677607,0.013514068940286898
Dim 110,0.009848032683962862,0.013027045990456176,0.01235054831179906,0.02871835870668805
Dim 111,0.01917222567142924,0.011172124511920642,0.013116863216260901,0.01750097543857248
Dim 112,0.031483887192123625,0.014962451145047222,0.016249432716158058,0.018645864204800626
Dim 113,0.015210950474458161,0.014035917988987763,0.018628352875582895,0.012750648064895122
Dim 114,0.020815954096544752,0.015023358520047304,0.01273622081317827,0.03440739789972137
Dim 115,0.013216778735483542,0.014803181715393837,0.03057419983121499,0.016637205680913505
Dim 116,0.02318945211998746,0.014840771264179892,0.00958875148659742,0.015353588550847846
Dim 117,0.020751266893587972,0.011648420176853427,0.01262256770135001,0.035542526715923284
Dim 118,0.013343244024849689,0.014530353612243464,0.016015522492985178,0.014543441043911734
Dim 119,0.013365181714809613,0.020160666480977966,0.01991064427410645,0.012390099003163476
Dim 120,0.012928481017040938,0.015718463861206285,0.017563247579697343,0.011838572644736249
Dim 121,0.028108541159970156,0.0138776768923357,0.017749718013690918,0.057850644805783155
Dim 122,0.014652637037794498,0.01383650058495142,0.012781965500670005,0.03315496138275886
Dim 123,0.029173252607823982,0.022623724210775506,0.011554973633062115,0.011557047328910748
Dim 124,0.014576044453034537,0.015236436541831516,0.02007431931471458,0.03079332138966826
Dim 125,0.01751603377648068,0.012882660531515006,0.014767709034393468,0.024871135530991424
Dim 126,0.013102964937193148,0.013844260046171425,0.011928192406231233,0.014566283304155169
Dim 127,0.019584394868978793,0.01637717793414603,0.013359586881027312,0.020579460720089163
Dim 128,0.013913456310220326,0.012437275591820547,0.02431854842954294,0.016995462606376043
Dim 129,0.013902037037225172,0.012297952042282363,0.013543373604387943,0.015720890842030422
Dim 130,0.015087529240713306,0.045485483032094,0.015140263021797589,0.019617646920732625
Dim 131,0.01218221920966692,0.014192092556024277,0.020941151958702012,0.022196251869339486
Dim 132,0.03238788908932879,0.019645014311658004,0.010507798643769726,0.025016588293162906
Dim 133,0.013037627830214131,0.018204968992862447,0.015411800568993472,0.029840585573262256
Dim 134,0.011805553707925288,0.019374858205692104,0.014720120446860803,0.01840810081323437
Dim 135,0.031466243166258664,0.012626162688816316,0.01291450484464219,0.01756584333151112
Dim 136,0.022546606568107582,0.03958518080665746,0.016661651882345998,0.03749737839917615
Dim 137,0.013867175686543156,0.010615739891243241,0.017389028878133924,0.028472379770855316
Dim 138,0.01820285391560675,0.021687072474633445,0.013092013000671036,0.018752372825244057
Dim 139,0.018278318961886194,0.014456677047841942,0.012673414156660182,0.013832515541416691
Dim 140,0.02481391067431341,0.01912947561714027,0.04521385197157033,0.022275724361951646
Dim 141,0.025699378462944025,0.011569870568878328,0.014432756943646515,0.01712172725850227
Dim 142,0.011691600508496646,0.011794575613715679,0.012433677343576359,0.03674835720280453
Dim 143,0.020062872989427084,0.025342465176855997,0.018078557254857998,0.01293134418372696
Dim 144,0.025716613865285308,0.012954488758748517,0.02979268124378858,0.01529457667435169
Dim 145,0.019043060840513874,0.02458218257913395,0.012972514661987195,0.02079995454022138
Dim 146,0.012627962686794506,0.0172371416236532,0.019488193456833718,0.01734264702853423
Dim 147,0.021130856098250942,0.013236854947085958,0.013289597395378995,0.015957619382897113
Dim 148,0.013751422921247406,0.03253941396714019,0.026662792474826474,0.013497122772521417
Dim 149,0.012417257217468709,0.052676454598294085,0.027161810047255083,0.014764474814871389
Dim 150,0.01518914392634543,0.018351145800437677,0.012263183416376243,0.015834609715647586
Dim 151,0.011738073065740097,0.01415987933079026,0.014263736860992297,0.014653027839866127
Dim 152,0.02561316737907745,0.018891035748437594,0.011991532857882814,0.015603652216959852
Dim 153,0.01182674065809165,0.01606531106710343,0.01242059413101697,0.017020570882649202
Dim 154,0.026098818019702583,0.013983394350365042,0.021221666713030468,0.01302682796280728
Dim 155,0.03162948951757287,0.014579635542588638,0.021226205445410526,0.011734901498059154
Dim 156,0.02307007262519917,0.013129979819144405,0.01247171425038524,0.014390727426805073
Dim 157,0.018994466452621435,0.01267595830021925,0.026809510293765337,0.03973495342508245
Dim 158,0.011591758148650684,0.017734396771047246,0.01642893559054184,0.010602089095102955
Dim 159,0.016765684769913664,0.016197489880899307,0.009614846136427822,0.013103314092359344
Dim 160,0.012324839735121699,0.011890317588520249,0.024097988264821492,0.025290116375803123
Dim 161,0.015108783343293915,0.03654326588796024,0.014133619975906663,0.012173240949456435
Dim 162,0.03187213041595755,0.017489578027150465,0.010822646452066063,0.03790673524733059
Dim 163,0.011383671553051875,0.01845075939657012,0.011486176839448897,0.015891867524325178
Dim 164,0.015202258871985773,0.011510571912878666,0.014234497877992528,0.01600883731318523
Dim 165,0.013550841082423737,0.03916737065138323,0.0198787251884078,0.011220993688522795
Dim 166,0.014014757273475164,0.012936533079317341,0.02902560239309465,0.02066611625085962
Dim 167,0.024577307306292394,0.04471226390979265,0.018616677072215145,0.04101442169507294
Dim 168,0.01724408166360599,0.012764095347972118,0.012681875195569244,0.023967574408353173
Dim 169,0.02804218558464307,0.048724558786939,0.029512801147267436,0.018869664021723263
Dim 170,0.01574378330569345,0.015267320633376807,0.01208699482089475,0.03898526816166062
Dim 171,0.014240767409821761,0.04403580964799985,0.025052186400272708,0.01341615038761328
Dim 172,0.012608446463524214,0.013940748373602659,0.019699976703337743,0.03526749092746099
Dim 173,0.011573611412316323,0.02178086131302174,0.014423982022722463,0.02276389811851054
Dim 174,0.015348086341672321,0.018789321337064617,0.012838829990964602,0.01384915463328703
Dim 175,0.012452930104755969,0.022363039663123876,0.01575579626651799,0.03997776647170263
Dim 176,0.013808238728199354,0.019192988041207937,0.011642063259893965,0.013483600964033123
Dim 177,0.015986007661322535,0.01566468685941274,0.01129938911538793,0.03914302648848257
Dim 178,0.020985711252596396,0.03486695303178708,0.014161624690297152,0.013644038292285231
Dim 179,0.014838906009542461,0.02877554399829855,0.010953343514806452,0.012118070174305879
Dim 180,0.014554125767340952,0.0177111513848677,0.014792478084304388,0.023945070093734637
Dim 181,0.013856650442390643,0.013615196573341619,0.016292257010914305,0.024140187401420543
Dim 182,0.019768595220826315,0.012159273558663782,0.011994589131757128,0.013765272779371469
Dim 183,0.02393303994060744,0.016816940138896945,0.01568208239018131,0.015542493777011569
Dim 184,0.015227501638797733,0.03183280362186724,0.02786969637179827,0.0254869178786501
Dim 185,0.011436832786563522,0.030089200662532185,0.01397526136482726,0.013750635228475567
Dim 186,0.015113198331866627,0.012827396855254452,0.015255873799114032,0.014824130726860042
Dim 187,0.018838539531573845,0.01577185723331304,0.010693068680209847,0.012419047332937725
Dim 188,0.013205658364314875,0.013705397882305109,0.011603304788333366,0.010467570889062593
Dim 189,0.01830811933385721,0.017795386647745475,0.014336020346106964,0.01604366551535554
Dim 190,0.011081388131367309,0.014779038225426082,0.020455833495857334,0.01165572877714071
Dim 191,0.012654151368589158,0.026176171998307584,0.01297777316971433,0.016214601207651582
Dim 192,0.015398444324485536,0.015193926986468709,0.011542055721306822,0.019792759273826385
Dim 193,0.011777032467414253,0.012710107264951538,0.016569261126784238,0.03354694203296475
Dim 194,0.014120887618711523,0.017391229637705268,0.01901197036946698,0.015359662139901142
Dim 195,0.013004156660636234,0.032544470920279386,0.01350852729454993,0.047181855012875876
Dim 196,0.013414313060866765,0.013695623845119503,0.02145655460093182,0.02028331857149831
Dim 197,0.033295855406705335,0.023491387556316468,0.012001571117410764,0.014205687232745403
Dim 198,0.031727459615020666,0.017450624204113585,0.020311207747874913,0.024753039278748966
Dim 199,0.02047655752106428,0.01885175300889155,0.013659093901650295,0.014583940484107374
Dim 200,0.013319521245722908,0.011092508766284684,0.01665208631022615,0.011750017701650179
Dim 201,0.013416629072138968,0.016511697901235512,0.023508936044104384,0.023463566279114407
Dim 202,0.01069018351524558,0.014241116004321517,0.01423851274245763,0.02886823699395529
Dim 203,0.0157649064206357,0.017366111521669593,0.017512924625738405,0.03596432970664574
Dim 204,0.012371034390699495,0.010576816493140389,0.011714963659711614,0.02184707543132209
Dim 205,0.020804172033446325,0.012199774928399706,0.014784510913017803,0.016001604674035864
Dim 206,0.01575368945564913,0.018072492620514014,0.01938453964696517,0.020176497123424952
Dim 207,0.018848672831518355,0.014175241443536131,0.010757184875613349,0.02529889035921287
Dim 208,0.013358490752394146,0.019815779615319083,0.015000031229401776,0.03019119375697425
Dim 209,0.01264000608515231,0.018659115512506506,0.019128277162834866,0.013010826834935364
Dim 210,0.011813850703626623,0.023620837870576256,0.01747355781879473,0.013327580350603602
Dim 211,0.02132245710768057,0.014799500139095652,0.013074474733607499,0.030227618983198045
Dim 212,0.03072436419132337,0.014138247298348876,0.011203074352315202,0.020498709739668282
Dim 213,0.015118261563677961,0.013838963942793657,0.01168634419994844,0.03532998862404559
Dim 214,0.01831815933260926,0.018178460221629375,0.010319116308241477,0.04663687474052075
Dim 215,0.017567086083281485,0.029993148604811847,0.013887606868820545,0.024060401788564237
Dim 216,0.017268932162906,0.012433827980760289,0.016447453365103518,0.013190182039509751
Dim 217,0.014740952591810911,0.012010395307885198,0.012182287150496568,0.015576743495902797
Dim 218,0.01932068610865771,0.016277299331771286,0.010781878404481615,0.015440868283444228
Dim 219,0.011046063321396328,0.015804363011751223,0.019407588813188884,0.019943361682912858
Dim 220,0.015162746530398197,0.012888502133987602,0.021365553112019688,0.03822928851581236
Dim 221,0.012525190859010018,0.025797861557504027,0.01665539890910767,0.026978482940063855
Dim 222,0.03673782203112249,0.013920969899232832,0.01575128513520685,0.013683399608393793
Dim 223,0.014284096444497298,0.013914338416325217,0.01550791199090135,0.01573149492312687
Dim 224,0.021617060640324946,0.011973429676493985,0.010789092972485368,0.02767721529569954
Dim 225,0.03828968715414521,0.028948660649923606,0.012608852855791294,0.03064546769246596
Dim 226,0.014387576630383186,0.015463028687601238,0.013449700142065382,0.032624988973860666
Dim 227,0.022949757752703605,0.013783196736779989,0.022506934861068747,0.02755704023993597
Dim 228,0.017913477489821836,0.042703086786703794,0.010924971870124,0.02299726381924622
Dim 229,0.014437915525869763,0.011829946043132327,0.013700241543591429,0.014054225746154607
Dim 230,0.01376617415249923,0.014660722317735832,0.02050290771278104,0.016679296529903125
Dim 231,0.011781912054907166,0.014540390547919746,0.01638262027046019,0.03347711519041851
Dim 232,0.013521745450488122,0.010382183740252265,0.017859238871705388,0.012147945193290863
Dim 233,0.022475046418801024,0.018319895578846144,0.013522629320908053,0.03863339718957559
Dim 234,0.012678394219838914,0.01663004225196442,0.012133833638720774,0.012929505633217658
Dim 235,0.019659110825084796,0.01540489489353716,0.012391271200623144,0.014985139205263079
Dim 236,0.030041843794713436,0.013497589421463901,0.024057142628967812,0.012586670021663159
Dim 237,0.01325376151518103,0.021714897047018594,0.012446242048801107,0.020648671761587224
Dim 238,0.04269885563693718,0.013001932410405865,0.012543722652426056,0.015559983066461473
Dim 239,0.014962045053023381,0.0108154743049352,0.017983681114644254,0.015271677273921739
Dim 240,0.012869037513179972,0.015958435651619987,0.013493437974230882,0.012712866315121448
Dim 241,0.011214053628871725,0.01855688758534484,0.02692106333656072,0.01696167873031757
Dim 242,0.011877747505861371,0.021833958708378738,0.012603362434006535,0.016524841510856134
Dim 243,0.015357549218122797,0.023054582147476018,0.01221098153696712,0.03058446984215637
Dim 244,0.012183189550787206,0.012424836382664914,0.015563961523700385,0.014795574031451628
Dim 245,0.019228264461882732,0.0282714520031615,0.012130813472966689,0.033977352149632045
Dim 246,0.015736370574297918,0.017316709511312624,0.017839769151043648,0.019226674185940523
Dim 247,0.01371099460365857,0.015726952799122007,0.013396846749560109,0.020749544782678625
Dim 248,0.01628990884167784,0.012730243095734851,0.024255468303665425,0.026319681070998985
Dim 249,0.016761875432036506,0.011503399934941882,0.0151296852851981,0.01702363833005879
Dim 250,0.01418668553699425,0.012507836660132506,0.012889963726215958,0.07388048787980593
Dim 251,0.019228186867536315,0.02855205593861025,0.019171526356244677,0.03729607905938391
Dim 252,0.011877026001076893,0.025403638324533635,0.01846598523649532,0.01600839611440428
Dim 253,0.02330193380482676,0.01359341960901314,0.012820177615932023,0.01484695147533419
Dim 254,0.025839808545305654,0.022697115454127652,0.020297338441691522,0.01585811307365426
Dim 255,0.014437378235441823,0.015897152182937982,0.014494655426587972,0.014407926531587751
Dim 256,0.022346299184510657,0.014290662020746251,0.04092912876481249,0.026900119019845473
Dim 257,0.013728984536910635,0.022203871809439394,0.012882780750172903,0.031264407649605544
Dim 258,0.02868577715159405,0.020430163340876807,0.011842347027505539,0.013641354494469756
Dim 259,0.01891784534846674,0.01622155171473604,0.01336088199238791,0.02116221762860661
Dim 260,0.02013231359511657,0.020828537107731627,0.016414857450150297,0.014875483696435396
Dim 261,0.012395565113690337,0.015102048781290418,0.015138410072572136,0.021720909846813914
Dim 262,0.013898208227285599,0.014755167962961505,0.021955060238457308,0.020903441034856324
Dim 263,0.013883622074421998,0.019909080190761888,0.015881505275836427,0.013614051321156603
Dim 264,0.023665941160472506,0.016330816052782113,0.011665654941303552,0.01661043750392286
Dim 265,0.0154002072420132,0.022358121015235943,0.013357636989553832,0.026952573497698175
Dim 266,0.012828344094953474,0.01445729171365912,0.011582299543353632,0.029973883806014553
Dim 267,0.011972835152134905,0.01784003837632835,0.016453624314071557,0.022317165383684744
Dim 268,0.013733484029613496,0.024951138929529056,0.012162234223980157,0.020590511835632732
Dim 269,0.01641463347715747,0.01811338846757523,0.011202126317941975,0.05889315656903987
Dim 270,0.011988024875642518,0.026602955529401735,0.011759288125015832,0.0128099717073934
Dim 271,0.014884792896545193,0.027959718819707168,0.012140573698033754,0.018770866878892924
Dim 272,0.0105532649286934,0.020407251132665005,0.015308777478780778,0.017030785646484133
Dim 273,0.01593420597513063,0.01847293546573054,0.014356432008419158,0.023456727625323203
Dim 274,0.02623518626922874,0.018142802918524437,0.012484475538726038,0.037975152997776825
Dim 275,0.018921675142012387,0.012638327212706937,0.025953428905906427,0.03740564574436284
Dim 276,0.027903613272993018,0.012627758447547816,0.011634814075364043,0.03426910328452196
Dim 277,0.02156911334726376,0.03064499068580025,0.013095859051979927,0.02175771447943851
